Term,Indexing Key
aves,"avis, avis"
arboris,"arbor, arboris"
a,"a, ab"
ab,"a, ab"
baculum,"baculus, baculi"
assultatus,"assulto, assultare"
caduceus,"caduceus, caducei"
circuli,"circulus, circuli"
crista,"crista, cristae"
cristata,"cristatus, cristata, cristatum"
erotica,"eroticus, erotica, eroticum"
dromedarius,"dromedarius, dromedarii"
delineata,"delineo, delineare"
velis,"velum, veli"
α,α
((%1000)),((%1000))
alterae,"alter, altera, alterum"
alterum,"alter, altera, alterum"
altera,"alter, altera, alterum"
alter,"alter, altera, alterum"
