EDR081348,Publi,publi,publius,N2/1,67859,*,Af-
EDR081348,Arrius,arrius,arrius,N2/1,8641,*,Af-
EDR081348,Arrius,arrius,arrius,N2/1,8641,*,Af-
EDR151898,Flavia,flauia,flauia,N1,33397,f,NpA
EDR151898,Flavia,flauia,flauius,N2/1,33412,*,Af-
EDR081347,Arrius,arrius,arrius,N2/1,8641,*,Af-
EDR081347,Arrius,arrius,arrius,N2/1,8641,*,Af-
EDR081347,Publius,publius,publius,N2/1,67859,*,Af-
EDR081347,Publius,publius,publius,N2/1,67859,*,Af-
EDR140061,Valentina,ualentina,ualentinum,N2,87804,n,NpB
EDR140061,Valentina,ualentina,ualentini,N2/1,87803,*,Af-
EDR140254,Ianuarias,ianuarias,ianuarius,N2/1,44635,*,Af-
EDR140255,Porcius,porcius,porcius,N2/1,64802,*,Af-
EDR140255,Porcius,porcius,porcius,N2/1,64802,*,Af-
EDR140198,Aniciae,aniciae,anicius,N2/1,6128,*,Af-
EDR140171,Saturninae,saturninae,saturnini,N2/1,73497,*,Af-
EDR140131,Crocale,crocale,crocale,N1,21885,f,NpA
EDR140131,Crocale,crocale,crocale,N1,21885,f,NpA
EDR151863,Hostius,hostius,hostius,N2/1,38758,*,Af-
EDR151863,Hostius,hostius,hostius,N2/1,38758,*,Af-
EDR151863,Caius,caius,caius,N2/1,13557,*,Af-
EDR140039,tros,tros,tros,N3B,86089,m,NpC
EDR150399,Aviani,auiani,auianius,N2/1,10588,*,Af-
EDR150399,Aviani,auiani,auianus,N2/1,10589,*,Af-
EDR151877,Spedio,spedio,spedius,N2/1,77660,*,Af-
EDR151877,Pompeiano,pompeiano,pompeianus,N2/1,64624,*,Af-
EDR140172,Epicurus,epicurus,epicurus,N2,29176,m,NpB
EDR152964,Aprilis,aprilis,aprilius,N2/1,7403,*,Af-
EDR152964,Aprilis,aprilis,aprilis,N3B,7402,2,NpC
EDR154569,Casium,casium,casium,N2,14884,n,NpB
EDR154569,Casium,casium,casius,N2/1,14885,*,Af-
EDR154185,Caesaris,caesaris,caesarus,N2,13486,m,NpB
EDR154185,Caesaris,caesaris,caesar,N3B,13471,m,NpC
EDR154185,Caesaris,caesaris,caesar,N3B,13472,m,NpC
EDR154190,Symphorus,symphorus,symphorus,N2,81712,m,NpB
EDR154433,Vitalio,uitalio,uitalio,N3B,89928,m,NpC
EDR154539,Vinicius,uinicius,uinicius,N2,89621,m,NpB
EDR154539,Caius,caius,caius,N2/1,13557,*,Af-
EDR156980,Sabina,sabina,sabini,N2/1,72188,*,Af-
EDR140062,heribus,heribus,heres,N3B,37744,m,NpC
EDR140062,heribus,heribus,hero,N4,37848,f,NpD
EDR140213,Cereales,cereales,cerealis,N3B,15790,*,NpC
EDR140188,Numisii,numisii,numisius,N2/1,55830,*,Af-
EDR140188,Martias,martias,martius,N2/1,50251,*,Af-
EDR140983,Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-
EDR140983,Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-
EDR140983,Veneriam,ueneriam,ueneria,N1,88431,f,NpA
EDR151822,Puteolis,puteolis,puteoli,N2,68258,m,NpB
EDR151822,Valerio,ualerio,ualerius,N2/1,87813,*,Af-
EDR152815,lali,lali,lalius,N2/1,45521,*,Af-
EDR152815,lali,lali,lalus,N2/1,45527,*,Af-
EDR159772,Stratonicus,stratonicus,stratonicus,N2,78712,m,NpB
EDR151894,Artorius,artorius,artorius,N2/1,8779,*,Af-
EDR151894,Artorius,artorius,artorius,N2/1,8779,*,Af-
EDR073355,Titi,titi,titus,N2,84434,m,NpB
EDR073355,Titi,titi,titus,N2,84435,m,NpB
EDR073355,Titi,titi,titius,N2/1,84411,*,Af-
EDR102191,Hermeros,hermeros,hermeros,N3B,37786,m,NpC
EDR102191,Puteolos,puteolos,puteoli,N2,68258,m,NpB
EDR102191,Hermerotem,hermerotem,hermeros,N3B,37786,m,NpC
EDR140239,Caius,caius,caius,N2/1,13557,*,Af-
EDR081345,Messenius,messenius,messenius,N2/1,51705,*,Af-
EDR081345,Messenius,messenius,messenius,N2/1,51705,*,Af-
EDR081345,Caius,caius,caius,N2/1,13557,*,Af-
EDR081345,Eunomus,eunomus,eunomus,N2,30220,m,NpB
EDR154045,Tiberius,tiberius,tiberius,N2/1,84126,*,Af-
EDR154045,Tiberius,tiberius,tiberius,N2/1,84126,*,Af-
EDR140140,Vettius,uettius,uettius,N2/1,89132,*,Af-
EDR140140,Vettius,uettius,uettius,N2/1,89132,*,Af-
EDR140204,Publius,publius,publius,N2/1,67859,*,Af-
EDR140204,Publius,publius,publius,N2/1,67859,*,Af-
EDR140234,Publius,publius,publius,N2/1,67859,*,Af-
EDR140234,Publius,publius,publius,N2/1,67859,*,Af-
EDR140034,Moschus,moschus,moschus,N2,53125,m,NpB
EDR151948,Remmius,remmius,remmius,N2/1,70294,*,Af-
EDR151948,Remmius,remmius,remmius,N2/1,70294,*,Af-
EDR140152,Verginiam,uerginiam,uerginius,N2/1,88670,*,Af-
EDR140221,Marcello,marcello,marcellus,N2/1,49973,*,Af-
EDR154179,Epaphroditum,epaphroditum,epaphrodite,N1,29060,f,NpA
EDR154179,Epaphroditum,epaphroditum,epaphroditus,N2,29061,m,NpB
EDR151417,Nicanor,nicanor,nicanor,N3B,55013,m,NpC
EDR140151,Tatius,tatius,tatius,N2/1,82446,*,Af-
EDR140151,Tatius,tatius,tatius,N2/1,82446,*,Af-
EDR140147,Puteolis,puteolis,puteoli,N2,68258,m,NpB
EDR140147,Herculanenses,herculanenses,herculanensis,N3A,37708,2,Af-
EDR153111,Phoebus,phoebus,phoebus,N2,63188,m,NpB
EDR154368,Cilix,cilix,cilix,N3B,16629,m,NpC
EDR129306,Euhodus,euhodus,euhodus,N2,30164,m,NpB
EDR129306,Lollianus,lollianus,lollianus,N2/1,47831,*,Af-
EDR129306,Atimetus,atimetus,atimetus,N2,9697,m,NpB
EDR154434,Longinus,longinus,longinus,N2,47877,m,NpB
EDR140190,Euhodus,euhodus,euhodus,N2,30164,m,NpB
EDR153741,Chie,chie,chius,N2,16323,f,NpB
EDR153741,Chie,chie,chius,N2/1,16322,*,Af-
EDR154371,Laviniam,lauiniam,lauinia,N1,46315,f,NpA
