Cardo III,Herculaneum,,,,
Cardo IV,Herculaneum,,,,
Cardo V,Herculaneum,,,,
Decumanus Maximus,Herculaneum,,,,
Decumanus Inferior,Herculaneum,,,,
Via del Tempio di Iside,Pompeii,,,,
Vicolo del Conciapelle,Pompeii,,,,
Vicolo btw I.1 and I.5,Pompeii,,,,
Via delle Scuole,Pompeii,,,,
Vicolo dei 12 Dei,Pompeii,,,,
Via della Palestra,Pompeii,,,,
Vicolo btw 1.3 and 1.2 and extension,Pompeii,,,,
Vicolo della Regina,Pompeii,,,,
Vicolo del Lupanare,Pompeii,,,,
Vicolo degli Scheletri,Pompeii,,,,
Vicolo di Modesto,Pompeii,,,,
Vicolo della Fullonica,Pompeii,,,,
Via di Mercurio,Pompeii,,,,
Vicolo delle Terme,Pompeii,,,,
Vicolo del Fauno,Pompeii,,,,
Vicolo del Labirinto,Pompeii,,,,
Vicolo dei Vettii,Pompeii,,,,
Vicolo del Gigante,Pompeii,,,,
Vicolo di Cecilio Giocondo,Pompeii,,,,
Vicolo di Paquio Proculo,Pompeii,,,,
Vicolo della Maschera,Pompeii,,,,
Vicolo di Eumachia,Pompeii,,,,
Vicolo Storto,Pompeii,,,,
Strada Stabiana,Pompeii,,,,
Vicolo dei Gladiatori,Pompeii,,,,
Vicolo di Lucrezio Frontone,Pompeii,,,,
Vicolo del Centenario,Pompeii,,,,
Vicolo btw III.9 and III.10,Pompeii,,,,
Vicolo btw III.10 and III.11,Pompeii,,,,
Vicolo btw III.11 and III.12,Pompeii,,,,
Vicolo dell'Efebo,Pompeii,,,,
Vicolo btw I.8 and I.9,Pompeii,,,,
Vicolo btw I.17 and I.16,Pompeii,,,,
Vicolo della Nave Europa,Pompeii,,,,
Vicolo dei Fuggiaschi,Pompeii,,,,
Via di Porta Nocera,Pompeii,,,,
Vicolo della Venere,Pompeii,,,,
Vicolo di Giulia Felice,Pompeii,,,,
Vicolo dell'Anfiteatro,Pompeii,,,,
Vicolo del Citarista,Pompeii,,,,
Vicolo di Mercurio,Pompeii,,,,
Via di Nola,Pompeii,,,,
Via degli Augustali,Pompeii,,,,
Vicolo del Panettiere,Pompeii,,,,
Vicolo btw IX.3 and IX.4 and extension,Pompeii,,,,
Vicolo di Balbo,Pompeii,,,,
Vicolo del Gallo,Pompeii,,,,
Via Marina,Pompeii,,,,
Via dell'Abbondanza,Pompeii,,,,
Amphitheater Area,Pompeii,,,,
Vicolo del Balcone Pensile,Pompeii,,,,
Vicolo btw I.1 and Fortification Wall and extension,Pompeii,,,,
Vicolo della Basilica,Pompeii,**This seems weird. Should it be Basilica??,,,RB changed it here on the spreadsheet.
Vicolo di Championnet,Pompeii,,,,
Vicolo del Foro,Pompeii,,,,
Vicolo btw VIII.5.11 and VIII.5.19,Pompeii,,,,
Vicolo del Granaio,Pompeii,,,,
Strada Consolare,Pompeii,,,,
Vicolo di Narciso,Pompeii,,,,
Vicolo del Farmacista,Pompeii,,,,
Vicolo del Menandro,Pompeii,,,,
Via del Foro,Pompeii,,,,
Vicolo delle Nozze d'Argento,Pompeii,,,,
Vicolo delle Pareti Rosse,Pompeii,,,,
Strada Stabiana / Via del Vesuvio,Pompeii,,,,
Vicolo btw IV.1 and IV.2,Pompeii,,,,
Vicolo btw IX.14 and III.8,Pompeii,,,,
Vicolo btw IV.2 and IV.3,Pompeii,,,,
Vicolo btw III.8 and III.9,Pompeii,,,,
Vicolo btw IV.3 and IV.4,Pompeii,,,,
Vicolo btw IV.4 and IV.5,Pompeii,,,,
Via delle Terme,Pompeii,,,,
Via della Fortuna,Pompeii,,,,
Vicolo dei Soprastanti,Pompeii,,,,
Vicolo dei Teatri,Pompeii,,,,
Vicolo di Tesmo,Pompeii,,,,
Vicolo btw I.9 and I.11,Pompeii,,,,
Vicolo btw III.4 and III.5,Pompeii,,,,
Vicolo btw III.5 and III.6,Pompeii,,,,
Vicolo btw III.6 and III.7,Pompeii,,,,
Via di Castricio,Pompeii,,,,
Vicolo di Octavius Quartio / Vicolo di Loreio Tiburtino,Pompeii,,,,
Forum,Pompeii,,,,
Road north of Villa San Marco,Stabiae,,,,
