EDR128560,Aegle?
EDR167726,Consul?
EDR175884,Betito?
EDR167788,fuit?
EDR167574,Pondo?
EDR167574,Suarium?
EDR127820,Tonsori?
EDR128017,Votroni?
EDR143648,fit?
EDR167724,Romanus?
EDR167955,Augustalis?
EDR167955,Cela?dus
EDR148788,pondo?
EDR175790,Abascantus?
EDR175759,Datur?
EDR128559,summa?
EDR151726,Calidius?
EDR167610,Asini?
EDR175883,Paris?
EDR175883,isse?
EDR175883,Septentrio?
EDR175883,Paris?
EDR175215,panem?
EDR161836,Caerulus?
EDR174880,valeat?
EDR174880,carus?
EDR175589,sectari?
EDR175732,bene?
EDR127972,Onustus?
EDR127972,rationis?
EDR175606,cur? quid?
EDR151953,καλός?
